req_id,dept_id,exam_year,subject_id,require_level
434,2022,114,2,
435,2022,114,3,均標
436,2022,114,4,均標
437,2022,114,5,
438,2032,114,0,前標
439,2032,114,1,前標
440,2032,114,2,
441,2032,114,3,均標
442,2032,114,4,前標
443,2032,114,5,
444,2042,114,0,前標
445,2042,114,1,前標
446,2042,114,2,
447,2042,114,3,
448,2042,114,4,
449,2042,114,5,
450,2052,114,0,均標
451,2052,114,1,均標
452,2052,114,2,
453,2052,114,3,
454,2052,114,4,
455,2052,114,5,
456,2062,114,0,均標
457,2062,114,1,均標
458,2062,114,2,
459,2062,114,3,均標
460,2062,114,4,均標
461,2062,114,5,
462,2072,114,0,均標
463,2072,114,1,均標
464,2072,114,2,
465,2072,114,3,
466,2072,114,4,
467,2072,114,5,
468,2082,114,0,均標
469,2082,114,1,均標
470,2082,114,2,
471,2082,114,3,均標
472,2082,114,4,前標
473,2082,114,5,
474,2112,114,0,均標
475,2112,114,1,均標
476,2112,114,2,
477,2112,114,3,
478,2112,114,4,
479,2112,114,5,
480,2122,114,0,均標
481,2122,114,1,均標
482,2122,114,2,
483,2122,114,3,
484,2122,114,4,
485,2122,114,5,
486,2132,114,0,均標
487,2132,114,1,均標
488,2132,114,2,均標
489,2132,114,3,
490,2132,114,4,
491,2132,114,5,
492,2152,114,0,均標
493,2152,114,1,前標
494,2152,114,2,均標
495,2152,114,3,均標
496,2152,114,4,
497,2152,114,5,
498,2162,114,0,均標
499,2162,114,1,均標
500,2162,114,2,
501,2162,114,3,
502,2162,114,4,
503,2162,114,5,
504,2172,114,0,前標
505,2172,114,1,前標
506,2172,114,2,
507,2172,114,3,
508,2172,114,4,前標
509,2172,114,5,
510,2192,114,0,
511,2192,114,1,頂標
512,2192,114,2,
513,2192,114,3,
514,2192,114,4,
515,2192,114,5,
516,2202,114,0,前標
517,2202,114,1,前標
518,2202,114,2,
519,2202,114,3,
520,2202,114,4,前標
521,2202,114,5,
522,2212,114,0,前標
523,2212,114,1,均標
524,2212,114,2,
525,2212,114,3,均標
526,2212,114,4,均標
527,2212,114,5,
528,2232,114,0,前標
529,2232,114,1,均標
530,2232,114,2,
531,2232,114,3,
532,2232,114,4,前標
533,2232,114,5,
534,2242,114,0,
535,2242,114,1,均標
536,2242,114,2,前標
537,2242,114,3,
538,2242,114,4,
539,2242,114,5,均標
540,2252,114,0,
541,2252,114,1,
542,2252,114,2,
543,2252,114,3,
544,2252,114,4,
545,2252,114,5,均標
546,2262,114,0,
547,2262,114,1,均標
548,2262,114,2,
549,2262,114,3,
550,2262,114,4,
551,2262,114,5,均標
552,2282,114,0,
553,2282,114,1,均標
554,2282,114,2,均標
555,2282,114,3,
556,2282,114,4,
557,2282,114,5,均標
558,2302,114,0,均標
559,2302,114,1,均標
560,2302,114,2,均標
561,2302,114,3,
562,2302,114,4,
563,2302,114,5,
564,2322,114,0,
565,2322,114,1,
566,2322,114,2,均標
567,2322,114,3,
568,2322,114,4,
569,2322,114,5,均標
570,2332,114,0,均標
571,2332,114,1,均標
572,2332,114,2,前標
573,2332,114,3,
574,2332,114,4,
575,2332,114,5,前標
576,2362,114,0,
577,2362,114,1,均標
578,2362,114,2,
579,2362,114,3,
580,2362,114,4,
581,2362,114,5,均標
582,2372,114,0,
583,2372,114,1,均標
584,2372,114,2,均標
585,2372,114,3,
586,2372,114,4,
587,2372,114,5,均標
588,2382,114,0,均標
589,2382,114,1,均標
590,2382,114,2,均標
591,2382,114,3,
592,2382,114,4,
593,2382,114,5,
594,2392,114,0,均標
595,2392,114,1,均標
596,2392,114,2,前標
597,2392,114,3,
598,2392,114,4,
599,2392,114,5,均標
600,2402,114,0,均標
601,2402,114,1,前標
602,2402,114,2,前標
603,2402,114,3,
604,2402,114,4,
605,2402,114,5,前標
606,2412,114,0,均標
607,2412,114,1,前標
608,2412,114,2,前標
609,2412,114,3,
610,2412,114,4,
611,2412,114,5,前標
612,2432,114,0,均標
613,2432,114,1,均標
614,2432,114,2,
615,2432,114,3,
616,2432,114,4,
617,2432,114,5,
618,2442,114,0,均標
619,2442,114,1,前標
620,2442,114,2,
621,2442,114,3,均標
622,2442,114,4,均標
623,2442,114,5,
624,2452,114,0,均標
625,2452,114,1,均標
626,2452,114,2,均標
627,2452,114,3,前標
628,2452,114,4,
629,2452,114,5,
630,2462,114,0,均標
631,2462,114,1,均標
632,2462,114,2,
633,2462,114,3,均標
634,2462,114,4,
635,2462,114,5,
636,2472,114,0,後標
637,2472,114,1,均標
638,2472,114,2,均標
639,2472,114,3,
640,2472,114,4,
641,2472,114,5,
642,2482,114,0,均標
643,2482,114,1,均標
644,2482,114,2,後標
645,2482,114,3,後標
646,2482,114,4,
647,2482,114,5,
648,2492,114,0,後標
649,2492,114,1,後標
650,2492,114,2,均標
651,2492,114,3,
652,2492,114,4,
653,2492,114,5,均標
654,2502,114,0,均標
655,2502,114,1,均標
656,2502,114,2,均標
657,2502,114,3,前標
658,2502,114,4,
659,2502,114,5,
660,2512,114,0,均標
661,2512,114,1,底標
662,2512,114,2,
663,2512,114,3,
664,2512,114,4,
665,2512,114,5,
666,3012,114,0,均標
667,3012,114,1,均標
668,3012,114,2,
669,3012,114,3,
670,3012,114,4,
671,3012,114,5,
672,3022,114,0,均標
673,3022,114,1,前標
674,3022,114,2,
675,3022,114,3,
676,3022,114,4,均標
677,3022,114,5,
678,3032,114,0,均標
679,3032,114,1,均標
680,3032,114,2,
681,3032,114,3,
682,3032,114,4,前標
683,3032,114,5,
684,3042,114,0,均標
685,3042,114,1,均標
686,3042,114,2,
687,3042,114,3,
688,3042,114,4,均標
689,3042,114,5,
690,3052,114,0,均標
691,3052,114,1,前標
692,3052,114,2,均標
693,3052,114,3,
694,3052,114,4,
695,3052,114,5,
696,3062,114,0,
697,3062,114,1,前標
698,3062,114,2,
699,3062,114,3,前標
700,3062,114,4,
701,3062,114,5,
702,3072,114,0,均標
703,3072,114,1,前標
704,3072,114,2,前標
705,3072,114,3,
706,3072,114,4,
707,3072,114,5,均標
708,3092,114,0,均標
709,3092,114,1,均標
710,3092,114,2,均標
711,3092,114,3,
712,3092,114,4,均標
