dept_id,univ_id,department,category
008232,008,企業管理學系服務業管理組,管理;企管
008242,008,企業管理學系高科技業管理組,管理;企管
008252,008,企業管理學系工商管理組,管理;企管;工商管理
008262,008,國際經營與貿易學系,管理;貿易
008272,008,會計學系,會計
008282,008,資訊管理學系,管理;資管
008292,008,財務金融學系,財務金融;金融
008302,008,中原大學與美國天普大學商學管理雙學士學位學程,學士班;商學;管理
008312,008,財經法律學系財貿法組,法律
008322,008,財經法律學系科技法組,法律
008332,008,建築學系,建築
008342,008,室內設計學系,設計;室內
008352,008,商業設計學系商業設計組,設計
008362,008,商業設計學系產品設計組乙類,設計
008372,008,地景建築學系,建築
008382,008,英國牛津布魯克斯大學建築及都市設計雙學士學位學程,學士班;設計;建築
008392,008,特殊教育學系,教育;特教
008402,008,應用外國語文學系,外國語文;文學
008412,008,應用華語文學系,華語;文學
008422,008,商業設計學系產品設計組甲類,設計
009012,009,中國文學系,中文;文學
009022,009,外國語文學系,外國語文;文學
009032,009,歷史學系,歷史
009042,009,日本語言文化學系,日文;文化;化學
009052,009,哲學系,哲學
009062,009,應用物理學系,物理
009072,009,化學系化學組,化學
009082,009,化學系化學生物組,化學;生命科學
009092,009,生命科學系生物醫學組,生命科學;醫學
009102,009,生命科學系生態暨生物多樣性組,生命科學
009112,009,智慧計算暨應用數學系(A組),數學
009122,009,智慧計算暨應用數學系(B組),數學
009132,009,化學工程與材料工程學系,化學;化學工程;材料
009142,009,工業工程與經營資訊學系(智慧設計與生產組),管理;設計;工業工程
009152,009,工業工程與經營資訊學系(智慧經營與管理組),管理;工業工程
009162,009,環境科學與工程學系,環境科學
009172,009,資訊工程學系,資訊工程
009182,009,資訊工程學系(APCS組),資訊工程
009192,009,電機工程學系,電機
009202,009,企業管理學系,管理;企管
009212,009,國際經營與貿易學系,管理;貿易
009222,009,會計學系,會計
009232,009,財務金融學系,財務金融;金融
009242,009,統計學系(巨量資料管理組),管理;統計
009252,009,統計學系(決策管理組),管理;統計
009262,009,資訊管理學系,管理;資管
009272,009,經濟學系,經濟
009282,009,政治學系,政治
009292,009,行政管理暨政策學系,政策;管理
009302,009,社會學系,社會學
009312,009,社會工作學系,社會工作
009322,009,畜產與生物科技學系,生命科學;動物科學;生物科技
009332,009,食品科學系,食品
009342,009,餐旅管理學系,管理;餐旅
009352,009,高齡健康與運動科學學士學位學程,學士班;運動科學;高齡
009362,009,建築學系,建築
009372,009,工業設計學系(A組),設計;工業設計
009382,009,工業設計學系(B組),設計;工業設計
009392,009,景觀學系,景觀
009402,009,法律學系,法律
009412,009,國際學院國際經營管理學位學程,管理;學士班
009422,009,永續科學與管理學士學位學程,學士班;管理
009432,009,音樂學系(演奏唱組),音樂
009442,009,音樂學系(音樂治療組),音樂
009452,009,美術學系,美術
011012,011,中國文學系甲組(一般組),中文;文學
011022,011,中國文學系乙組(華語文教學組),中文;華語;文學
011032,011,外國語文學系,外國語文;文學
011042,011,人文社會學院學士班,學士班;社會學
011052,011,教育與學習科技學系,教育科技
011062,011,幼兒教育學系,教育;幼教
011072,011,教育心理與諮商學系,諮商輔導;商學
011082,011,教育心理與諮商學系(公費生甲組),諮商輔導;商學
011092,011,教育心理與諮商學系(公費生乙組),諮商輔導;商學
011102,011,特殊教育學系,教育;特教
011112,011,英語教學系,英文
011122,011,竹師教育學院學士班,學士班;教育
011132,011,環境與文化資源學系,文化資源;環境
011142,011,經濟學系,經濟
011152,011,科技管理學院學士班,學士班;管理
011162,011,計量財務金融學系,財務金融;金融
011172,011,數學系甲組(數學組),數學
011182,011,數學系乙組(應用數學組),數學
011192,011,物理學系物理組(甲組一般組),物理
011202,011,物理學系物理組(乙組天文物理組),物理
011212,011,物理學系光電物理組,物理;光電
011222,011,化學系,化學
011232,011,理學院學士班,學士班
011242,011,生醫工程與環境科學系,環境科學;生醫工程
011252,011,工程與系統科學系甲組(低碳綠能組),能源
011262,011,工程與系統科學系乙組(智慧奈米系統組),奈米
011272,011,原子科學院學士班,學士班
011282,011,化學工程學系,化學;化學工程
011292,011,動力機械工程學系,機械
011302,011,材料科學工程學系,材料
011312,011,工業工程與工程管理學系,管理;工業工程
011322,011,工學院學士班,學士班
011332,011,電機工程學系甲組,電機
011342,011,電機工程學系乙組,電機
011352,011,資訊工程學系甲組(電子資訊組),資訊工程;電子
011362,011,資訊工程學系乙組(資訊工程組),資訊工程
011372,011,資訊工程學系丙組(人工智慧組),資訊工程;人工智慧
011382,011,資訊工程學系(APCS組),資訊工程
011392,011,電機資訊學院學士班,學士班;電機資訊;電機
011402,011,生命科學系,生命科學
011412,011,醫學科學系,醫學
011422,011,生命科學暨醫學院學士班,學士班;生命科學;醫學
011432,011,清華學院學士班甲組(不分系招生–創新設計),不分系;學士班;設計;創業
011442,011,清華學院學士班乙組(青年儲蓄帳戶組),青年儲蓄;學士班
011452,011,旭日招生甲組(人文、教育),招生
011462,011,旭日招生乙組(科管),招生
011472,011,旭日招生丙組(理工、原科、生科),招生
011482,011,旭日招生丁組(電資院),招生
011492,011,運動科學系,運動科學
011502,011,藝術學院學士班(科技藝術組),學士班
011512,011,藝術學院學士班(音樂組),學士班;音樂
011522,011,藝術學院學士班(藝設跨域組),學士班;跨域
011532,011,音樂學系,音樂
011542,011,藝術與設計學系創作組,設計
011552,011,藝術與設計學系設計組,設計
012012,012,牙醫學系,醫學;牙醫
012022,012,醫學系,醫學
012032,012,中醫學系甲組,醫學;中醫
012042,012,中醫學系乙組,醫學;中醫
012052,012,藥學系,藥學
012062,012,護理學系,護理
012072,012,醫學檢驗生物技術學系,生命科學;生物科技;醫學檢驗
012082,012,營養學系,營養
012092,012,物理治療學系,物理;物理治療
012102,012,生物科技學系,生命科學;生物科技
012112,012,運動醫學系,醫學
012122,012,中國藥學暨中藥資源學系,藥學
012132,012,藥用化妝品學系,化妝品
012142,012,生物醫學影像暨放射科學學系,醫學;醫學影像
012152,012,公共衛生學院大一不分系,不分系;公共衛生
012162,012,生物醫學工程學系,生醫工程
012172,012,醫療資訊學系,醫療資訊
013012,013,電機工程學系甲組(電資國際組),電機
013022,013,電機工程學系乙組(電機工程組),電機
013032,013,電機工程學系丙組(醫學電資組),電機;醫學
013042,013,光電工程學系甲組(智慧系統組),光電
013052,013,光電工程學系乙組(半導體光電組),光電;半導體
013062,013,資訊工程學系(甲組),資訊工程
013072,013,資訊工程學系(乙組),資訊工程
013082,013,資訊工程學系(APCS組),資訊工程
013092,013,資訊工程學系(資安組),資訊工程;資訊安全
013102,013,半導體工程學系固態電子組,電子;半導體
013112,013,半導體工程學系奈米科學組,半導體;奈米
013122,013,材料科學與工程學系,材料
013132,013,機械工程學系,機械
013142,013,土木工程學系甲組(科技暨基礎建設永續發展組),土木;建設
013152,013,土木工程學系乙組(科技暨基礎建設永續發展國際組),土木;建設
013162,013,理學院科學學士學位學程(乙組),學士班
013172,013,理學院科學學士學位學程(丙組),學士班
013182,013,電子物理學系光電與奈米科學組,物理;電子;光電;奈米
013192,013,電子物理學系電子物理組,物理;電子
013202,013,應用化學系,化學
013212,013,應用數學系,數學
013222,013,生物科技學系(甲組),生命科學;生物科技
013232,013,生物科技學系(乙組),生命科學;生物科技
013242,013,資訊管理與財務金融學系資訊管理組,管理;財務金融;金融;資管
013252,013,資訊管理與財務金融學系財務金融組,管理;財務金融;金融;資管
013262,013,管理科學系,管理
013272,013,運輸與物流管理學系,管理;物流
013282,013,工業工程與管理學系,管理;工業工程
013292,013,外國語文學系甲組(跨域人文組),跨域;外國語文;文學
013302,013,外國語文學系乙組(語言科學組),外國語文;文學
013312,013,傳播與科技學系,傳播
013322,013,人文社會學系,社會學
013332,013,屯蒙-電機資訊組,招生;電機資訊;電機
013342,013,屯蒙-工程組,招生
013352,013,屯蒙-理學生物科技組,招生;生命科學;生物科技
013362,013,屯蒙-管理組,招生;管理
013372,013,屯蒙-人文社會組,招生
013382,013,屯蒙-醫學組,招生;醫學
013392,013,屯蒙-牙醫組,招生;牙醫
013402,013,屯蒙-醫事證照組,招生;醫事
013412,013,屯蒙-生醫科學組,招生
013422,013,醫學系醫師組,醫學
013432,013,醫學系醫師科學家組,醫學
013442,013,醫學系醫師工程師組,醫學
013452,013,醫學系(公費生),醫學
013462,013,牙醫學系,醫學;牙醫
013472,013,醫學生物技術暨檢驗學系(生技及檢驗醫學組),生命科學;生物科技;醫學
013482,013,醫學生物技術暨檢驗學系(資訊及精準醫學組),生命科學;生物科技;醫學
013492,013,生物醫學影像暨放射科學系,醫學;醫學影像
013502,013,護理學系,護理
013512,013,物理治療暨輔助科技學系,物理;物理治療
013522,013,生命科學系暨基因體科學研究所(生物醫學科學組),生命科學;醫學
013532,013,生命科學系暨基因體科學研究所(生醫光電與資訊組),生命科學;光電
013542,013,生物醫學工程學系,生醫工程
013552,013,藥學系,藥學
013562,013,學士班大一大二不分系,不分系;學士班
013572,013,中醫學系,醫學;中醫
014012,014,中國文學學系,中文;文學
014022,014,歷史學系,歷史
014032,014,資訊與圖書館學系,圖資
014042,014,大眾傳播學系,傳播
014052,014,資訊傳播學系,傳播
014062,014,教育科技學系,教育科技
014072,014,教育與未來設計學系,設計
014082,014,英文學系,英文;文學
014092,014,英文學系全英語學士班,學士班;全英;英文;文學
014102,014,歐洲語文學系法文組,文學
014112,014,歐洲語文學系德文組,文學
014122,014,歐洲語文學系西文組,文學
014132,014,歐洲語文學系俄文組,文學
014142,014,日本語文學系,日文;文學
014152,014,財務金融學系,財務金融;金融
014162,014,財務金融學系全球財務管理全英語學士班,學士班;全英;英文;管理;財務金融;金融
014172,014,國際企業學系經貿管理組,管理;國際企業
014182,014,國際企業學系國際商學全英語組,全英;英文;商學;國際企業
014192,014,風險管理與保險學系,管理;風險管理;保險
014202,014,經濟學系,經濟
014212,014,會計學系,會計
014222,014,企業管理學系,管理;企管
014232,014,企業管理學系全英語學士班,學士班;全英;英文;管理;企管
014242,014,統計與資料科學學系,統計;資料科學
014252,014,資訊管理學系,管理;資管
014262,014,運輸管理學系,管理;運管
014272,014,公共行政學系,公共行政
014282,014,管理科學學系,管理
014292,014,外交與國際關係學系全英語學士班,學士班;全英;英文;國際關係
014302,014,國際觀光管理學系全英語學士班,學士班;全英;英文;管理;觀光
014312,014,全球政治經濟學系全英語學士班,學士班;全英;英文;經濟
014322,014,應用數學與數據科學學系,數學;資料科學
014332,014,化學學系,化學
014342,014,物理學系(量子材料組),物理;材料
014352,014,物理學系(天文與基礎物理組),物理
014362,014,建築學系,建築
014372,014,土木工程學系,土木
014382,014,資訊工程學系,資訊工程
014392,014,資訊工程學系全英語學士班,學士班;全英;英文;資訊工程
014402,014,機械與機電工程學系,機電工程;機械
014412,014,電機工程學系電機資訊組,電機資訊;電機
014422,014,電機工程學系電機通訊組,通訊;電機
014432,014,電機工程學系電機與系統組,電機
014442,014,化學工程與材料工程學系,化學;化學工程;材料
014452,014,航空太空工程學系,航太工程
014462,014,水資源及環境工程學系,環境工程
014472,014,人工智慧學系,人工智慧
014482,014,資訊工程學系(APCS組),資訊工程
014492,014,電機工程學系電機資訊組(APCS組),電機資訊;電機
014502,014,人工智慧學系(APCS組),人工智慧
014512,014,資訊管理學系(APCS組),管理;資管
014522,014,建築學系(青年儲蓄帳戶組),青年儲蓄;建築
015012,015,機械與電腦輔助工程學系,機械
015022,015,纖維與複合材料學系,材料
015032,015,工業工程與系統管理學系A組,管理;工業工程
015042,015,工業工程與系統管理學系B組,管理;工業工程
015052,015,化學工程學系,化學;化學工程
015062,015,航太與系統工程學系,航太工程;系統工程;航太
015072,015,精密系統設計學士學位學程,學士班;設計
015082,015,應用數學系A組,數學
015092,015,應用數學系B組,數學
015102,015,材料科學與工程學系,材料
015112,015,環境工程與科學學系,環境工程
015122,015,光電科學與工程學系,光電
015132,015,會計學系,會計
015142,015,國際經營與貿易學系,管理;貿易
015152,015,國際企業管理全英語學士學位學程,學士班;全英;英文;管理;企管;國際企業
015162,015,財稅學系,財稅
015172,015,合作經濟暨社會事業經營學系,管理
015182,015,統計學系商業大數據組,統計;大數據
015192,015,統計學系大數據分析與市場決策組,行銷;統計;大數據
015202,015,經濟學系,經濟
015212,015,企業管理學系,管理;企管
015222,015,行銷學系,行銷
015232,015,中國文學系,中文;文學
015242,015,外國語文學系,外國語文;文學
015252,015,資訊工程學系,資訊工程
015262,015,資訊工程學系(APCS組),資訊工程
015272,015,資訊工程學系(資安組),資訊工程;資訊安全
015282,015,電子工程學系,電子
015292,015,電機工程學系,電機
015302,015,自動控制工程學系,控制工程
015312,015,資訊電機學院學士班,學士班;電機
015322,015,通訊工程學系,通訊
015332,015,土木工程學系,土木
015342,015,水利工程與資源保育學系,水利工程;自然資源
015352,015,都市計畫與空間資訊學系,都市計畫
015362,015,運輸與物流學系,物流
015372,015,土地管理學系,土地;管理
015382,015,財務金融學系,財務金融;金融
015392,015,風險管理與保險學系,管理;風險管理;保險
015402,015,財務工程與精算學士學位學程,學士班;財務工程;精算
015412,015,金融學院學士班,學士班;金融
015422,015,室內設計學士學位學程,學士班;設計;室內
015432,015,建築專業學院學士班,學士班;建築
015442,015,澳洲墨爾本皇家理工大學商學與創新雙學士學位學程,學士班;商學;創業
