dept_id,univ_id,department,學群,學類,category_id
003502,003,興翼招生E組(生物資源暨農業科技),不分系學群,不分系學類,1901
003512,003,興翼招生F組(生物科技暨獸醫),不分系學群,不分系學類,1901
004012,004,中國文學系,文史哲學群,中國語文學類,1304
004022,004,外國語文學系,外語學群,英語文學類,1201
004032,004,歷史學系,文史哲學群,歷史學類,1305
004042,004,台灣文學系,文史哲學群,臺灣語文學類,1307
004052,004,數學系,數理化學群,數學學類,0301
004062,004,物理學系,數理化學群,物理學類,0303
004072,004,化學系,數理化學群,化學學類,0302
004082,004,地球科學系,地球與環境學群,地質地球與環境科學學類,0703
004092,004,光電科學與工程學系,工程學群,光電學類,0202
004102,004,機械工程學系,工程學群,機械工程學類,0206
004112,004,機械工程學系(普渡雙聯組),工程學群,機械工程學類,0206
004122,004,化學工程學系,工程學群,化學工程學類,0210
004132,004,材料科學及工程學系,工程學群,材料工程學類,0211
004142,004,資源工程學系,工程學群,工程科學學類,0205
004152,004,土木工程學系,工程學群,土木工程學類,0208
004162,004,土木工程學系(普渡雙聯組),工程學群,土木工程學類,0208
004172,004,水利及海洋工程學系,工程學群,水利/海洋工程學類,0209
004182,004,水利及海洋工程學系(普渡雙聯組),工程學群,水利/海洋工程學類,0209
004192,004,工程科學系,工程學群,工程科學學類,0205
004202,004,系統及船舶機電工程學系,工程學群,工程科學學類,0205
004212,004,航空太空工程學系,工程學群,航空工程學類,0207
004222,004,能源工程國際學士學位學程,工程學群,工程科學學類,0205
004232,004,環境工程學系,地球與環境學群,環境工程學類,0702
004242,004,環境工程學系(普渡雙聯組),地球與環境學群,環境工程學類,0702
004252,004,測量及空間資訊學系,地球與環境學群,地質地球與環境科學學類,0703
004262,004,測量及空間資訊學系(普渡雙聯組),地球與環境學群,地質地球與環境科學學類,0703
004272,004,生物醫學工程學系,工程學群,生醫/醫學工程學類,0212
004282,004,工業與資訊管理學系,管理學群,工業工程與管理學類,1603
004292,004,交通管理科學系,管理學群,運輸物流管理學類,1610
004302,004,統計與資料科學學系,財經學群,統計學類,1701
004312,004,會計學系,財經學群,會計學類,1702
004322,004,企業管理學系,管理學群,企業管理學類,1608
004332,004,醫學系,醫藥衛生學群,醫學學類,0401
004342,004,醫學系(公費生),醫藥衛生學群,醫學學類,0401
004352,004,牙醫學系,醫藥衛生學群,牙醫學類,0403
004362,004,醫學檢驗生物技術學系,醫藥衛生學群,醫學檢驗暨生物技術學類,0407
004372,004,護理學系,醫藥衛生學群,護理學類,0406
004382,004,物理治療學系,醫藥衛生學群,物理治療學類,0404
004392,004,職能治療學系,醫藥衛生學群,職能治療學類,0405
004402,004,藥學系,醫藥衛生學群,藥學學類,0409
004412,004,政治學系,法政學群,政治學類,1504
004422,004,經濟學系,財經學群,經濟學類,1707
004432,004,法律學系,法政學群,法律學類,1502
004442,004,法律學系(青年儲蓄帳戶組),法政學群,法律學類,1502
004452,004,心理學系,社會與心理學群,心理學類,1001
004462,004,電機工程學系(甲組),工程學群,電機工程學類,0201
004472,004,電機工程學系(乙組),工程學群,電機工程學類,0201
004482,004,電機工程學系(普渡雙聯組),工程學群,電機工程學類,0201
004492,004,資訊工程學系,資訊學群,資訊工程學類,0101
