req_id,dept_id,exam_year,subject_id,require_level
472,002062,115,4,均標
473,002062,115,5,
474,002072,115,0,均標
475,002072,115,1,均標
476,002072,115,2,
477,002072,115,3,
478,002072,115,4,
479,002072,115,5,
480,002082,115,0,均標
481,002082,115,1,均標
482,002082,115,2,
483,002082,115,3,均標
484,002082,115,4,前標
485,002082,115,5,
486,002092,115,0,均標
487,002092,115,1,均標
488,002092,115,2,
489,002092,115,3,均標
490,002092,115,4,前標
491,002092,115,5,
492,002102,115,0,均標
493,002102,115,1,均標
494,002102,115,2,
495,002102,115,3,均標
496,002102,115,4,前標
497,002102,115,5,
498,002112,115,0,均標
499,002112,115,1,均標
500,002112,115,2,
501,002112,115,3,
502,002112,115,4,
503,002112,115,5,
504,002122,115,0,均標
505,002122,115,1,均標
506,002122,115,2,
507,002122,115,3,
508,002122,115,4,
509,002122,115,5,
510,002132,115,0,均標
511,002132,115,1,均標
512,002132,115,2,均標
513,002132,115,3,
514,002132,115,4,
515,002132,115,5,
516,002142,115,0,均標
517,002142,115,1,均標
518,002142,115,2,
519,002142,115,3,
520,002142,115,4,
521,002142,115,5,
522,002152,115,0,均標
523,002152,115,1,前標
524,002152,115,2,均標
525,002152,115,3,均標
526,002152,115,4,均標
527,002152,115,5,
528,002162,115,0,均標
529,002162,115,1,均標
530,002162,115,2,
531,002162,115,3,
532,002162,115,4,
533,002162,115,5,
534,002172,115,0,前標
535,002172,115,1,前標
536,002172,115,2,
537,002172,115,3,
538,002172,115,4,前標
539,002172,115,5,
540,002182,115,0,前標
541,002182,115,1,前標
542,002182,115,2,
543,002182,115,3,
544,002182,115,4,前標
545,002182,115,5,
546,002192,115,0,
547,002192,115,1,頂標
548,002192,115,2,
549,002192,115,3,
550,002192,115,4,
551,002192,115,5,
552,002202,115,0,前標
553,002202,115,1,前標
554,002202,115,2,
555,002202,115,3,
556,002202,115,4,前標
557,002202,115,5,
558,002212,115,0,前標
559,002212,115,1,均標
560,002212,115,2,
561,002212,115,3,均標
562,002212,115,4,均標
563,002212,115,5,
564,002222,115,0,均標
565,002222,115,1,均標
566,002222,115,2,
567,002222,115,3,
568,002222,115,4,
569,002222,115,5,
570,002232,115,0,前標
571,002232,115,1,均標
572,002232,115,2,
573,002232,115,3,
574,002232,115,4,前標
