dept_id,univ_id,department
009382,009,工業設計學系(B組)
009392,009,景觀學系
009402,009,法律學系
009412,009,國際學院國際經營管理學位學程
009422,009,永續科學與管理學士學位學程
009432,009,音樂學系(演奏唱組)
009442,009,音樂學系(音樂治療組)
009452,009,美術學系
011012,011,中國文學系甲組(一般組)
011022,011,中國文學系乙組(華語文教學組)
011032,011,外國語文學系
011042,011,人文社會學院學士班
011052,011,教育與學習科技學系
011062,011,幼兒教育學系
011072,011,教育心理與諮商學系
011082,011,教育心理與諮商學系(公費生甲組)
011092,011,教育心理與諮商學系(公費生乙組)
011102,011,特殊教育學系
011112,011,英語教學系
011122,011,竹師教育學院學士班
011132,011,環境與文化資源學系
011142,011,經濟學系
011152,011,科技管理學院學士班
011162,011,計量財務金融學系
011172,011,數學系甲組(數學組)
011182,011,數學系乙組(應用數學組)
011192,011,物理學系物理組(甲組一般組)
011202,011,物理學系物理組(乙組天文物理組)
011212,011,物理學系光電物理組
011222,011,化學系
011232,011,理學院學士班
011242,011,生醫工程與環境科學系
011252,011,工程與系統科學系甲組(低碳綠能組)
011262,011,工程與系統科學系乙組(智慧奈米系統組)
011272,011,原子科學院學士班
011282,011,化學工程學系
011292,011,動力機械工程學系
011302,011,材料科學工程學系
011312,011,工業工程與工程管理學系
011322,011,工學院學士班
011332,011,電機工程學系甲組
011342,011,電機工程學系乙組
011352,011,資訊工程學系甲組(電子資訊組)
011362,011,資訊工程學系乙組(資訊工程組)
011372,011,資訊工程學系丙組(人工智慧組)
011382,011,資訊工程學系(APCS組)
011392,011,電機資訊學院學士班
011402,011,生命科學系
011412,011,醫學科學系
011422,011,生命科學暨醫學院學士班
011432,011,清華學院學士班甲組(不分系招生–創新設計)
011442,011,清華學院學士班乙組(青年儲蓄帳戶組)
011452,011,旭日招生甲組(人文、教育)
011462,011,旭日招生乙組(科管)
011472,011,旭日招生丙組(理工、原科、生科)
011482,011,旭日招生丁組(電資院)
011492,011,運動科學系
011502,011,藝術學院學士班(科技藝術組)
011512,011,藝術學院學士班(音樂組)
011522,011,藝術學院學士班(藝設跨域組)
011532,011,音樂學系
011542,011,藝術與設計學系創作組
011552,011,藝術與設計學系設計組
012012,012,牙醫學系
012022,012,醫學系
012032,012,中醫學系甲組
012042,012,中醫學系乙組
012052,012,藥學系
012062,012,護理學系
012072,012,醫學檢驗生物技術學系
012082,012,營養學系
012092,012,物理治療學系
012102,012,生物科技學系
012112,012,運動醫學系
012122,012,中國藥學暨中藥資源學系
012132,012,藥用化妝品學系
012142,012,生物醫學影像暨放射科學學系
012152,012,公共衛生學院大一不分系
012162,012,生物醫學工程學系
012172,012,醫療資訊學系
013012,013,電機工程學系甲組(電資國際組)
013022,013,電機工程學系乙組(電機工程組)
013032,013,電機工程學系丙組(醫學電資組)
013042,013,光電工程學系甲組(智慧系統組)
013052,013,光電工程學系乙組(半導體光電組)
013062,013,資訊工程學系(甲組)
013072,013,資訊工程學系(乙組)
013082,013,資訊工程學系(APCS組)
013092,013,資訊工程學系(資安組)
013102,013,半導體工程學系固態電子組
013112,013,半導體工程學系奈米科學組
013122,013,材料科學與工程學系
013132,013,機械工程學系
013142,013,土木工程學系甲組(科技暨基礎建設永續發展組)
013152,013,土木工程學系乙組(科技暨基礎建設永續發展國際組)
013162,013,理學院科學學士學位學程(乙組)
013172,013,理學院科學學士學位學程(丙組)
013182,013,電子物理學系光電與奈米科學組
013192,013,電子物理學系電子物理組
013202,013,應用化學系
013212,013,應用數學系
013222,013,生物科技學系(甲組)
013232,013,生物科技學系(乙組)
013242,013,資訊管理與財務金融學系資訊管理組
013252,013,資訊管理與財務金融學系財務金融組
013262,013,管理科學系
013272,013,運輸與物流管理學系
013282,013,工業工程與管理學系
013292,013,外國語文學系甲組(跨域人文組)
013302,013,外國語文學系乙組(語言科學組)
013312,013,傳播與科技學系
013322,013,人文社會學系
013332,013,屯蒙-電機資訊組
013342,013,屯蒙-工程組
013352,013,屯蒙-理學生物科技組
013362,013,屯蒙-管理組
013372,013,屯蒙-人文社會組
013382,013,屯蒙-醫學組
013392,013,屯蒙-牙醫組
013402,013,屯蒙-醫事證照組
013412,013,屯蒙-生醫科學組
013422,013,醫學系醫師組
013432,013,醫學系醫師科學家組
013442,013,醫學系醫師工程師組
013452,013,醫學系(公費生)
013462,013,牙醫學系
013472,013,醫學生物技術暨檢驗學系(生技及檢驗醫學組)
013482,013,醫學生物技術暨檢驗學系(資訊及精準醫學組)
013492,013,生物醫學影像暨放射科學系
013502,013,護理學系
013512,013,物理治療暨輔助科技學系
013522,013,生命科學系暨基因體科學研究所(生物醫學科學組)
013532,013,生命科學系暨基因體科學研究所(生醫光電與資訊組)
013542,013,生物醫學工程學系
013552,013,藥學系
013562,013,學士班大一大二不分系
013572,013,中醫學系
014012,014,中國文學學系
014022,014,歷史學系
014032,014,資訊與圖書館學系
014042,014,大眾傳播學系
014052,014,資訊傳播學系
014062,014,教育科技學系
014072,014,教育與未來設計學系
014082,014,英文學系
014092,014,英文學系全英語學士班
014102,014,歐洲語文學系法文組
014112,014,歐洲語文學系德文組
014122,014,歐洲語文學系西文組
014132,014,歐洲語文學系俄文組
014142,014,日本語文學系
014152,014,財務金融學系
014162,014,財務金融學系全球財務管理全英語學士班
014172,014,國際企業學系經貿管理組
014182,014,國際企業學系國際商學全英語組
014192,014,風險管理與保險學系
014202,014,經濟學系
014212,014,會計學系
014222,014,企業管理學系
014232,014,企業管理學系全英語學士班
014242,014,統計與資料科學學系
014252,014,資訊管理學系
014262,014,運輸管理學系
014272,014,公共行政學系
014282,014,管理科學學系
014292,014,外交與國際關係學系全英語學士班
014302,014,國際觀光管理學系全英語學士班
014312,014,全球政治經濟學系全英語學士班
014322,014,應用數學與數據科學學系
014332,014,化學學系
014342,014,物理學系(量子材料組)
014352,014,物理學系(天文與基礎物理組)
014362,014,建築學系
014372,014,土木工程學系
014382,014,資訊工程學系
014392,014,資訊工程學系全英語學士班
014402,014,機械與機電工程學系
014412,014,電機工程學系電機資訊組
014422,014,電機工程學系電機通訊組
014432,014,電機工程學系電機與系統組
014442,014,化學工程與材料工程學系
014452,014,航空太空工程學系
014462,014,水資源及環境工程學系
014472,014,人工智慧學系
014482,014,資訊工程學系(APCS組)
014492,014,電機工程學系電機資訊組(APCS組)
014502,014,人工智慧學系(APCS組)
014512,014,資訊管理學系(APCS組)
014522,014,建築學系(青年儲蓄帳戶組)
015012,015,機械與電腦輔助工程學系
015022,015,纖維與複合材料學系
015032,015,工業工程與系統管理學系A組
