dept_id,univ_id,dept_name,category_id
008062,008,心理學系,1001
008072,008,生物科技學系,0505
008082,008,化學工程學系綠能製程組,0210
008092,008,化學工程學系生化工程組,0210
008102,008,化學工程學系材料工程組,0210
008112,008,土木工程學系,0208
008122,008,機械工程學系,0206
008132,008,生物醫學工程學系,0212
008142,008,環境工程學系,0702
008152,008,電機資訊學院學士班,0101
008162,008,工業與系統工程學系工程組,1603
008172,008,工業與系統工程學系管理組,1603
008182,008,電子工程學系,0203
008192,008,資訊工程學系,0101
008202,008,電機工程學系,0201
008212,008,"美國威大密爾瓦基分校電機與資訊工程雙學士學位學程
(008212)",0201
008222,008,電機資訊學院智慧運算與大數據學士班,0101
008232,008,企業管理學系服務業管理組,1608
008242,008,企業管理學系高科技業管理組,1608
008252,008,企業管理學系工商管理組,1608
008262,008,國際經營與貿易學系,1704
008272,008,會計學系,1702
008282,008,資訊管理學系,1601
008292,008,財務金融學系,1703
008302,008,"與美國天普大學商學管理雙學士學位學程
(008302)",1608
008312,008,財經法律學系財貿法組,1503
008322,008,財經法律學系科技法組,1503
008332,008,建築學系,0802
008342,008,室內設計學系,0805
008352,008,商業設計學系商業設計組,0807
008362,008,商業設計學系產品設計組乙類,0805
008372,008,地景建築學系,0804
008382,008,英國牛津布魯克斯大學建築及都市設計雙學士學位學程,0802
008392,008,特殊教育學系,1408
008402,008,應用外國語文學系,1201
008412,008,應用華語文學系,1309
008422,008,半導體產業學士學位學程,0203
008432,008,商業設計學系產品設計組甲類,0805
009012,009,中國文學系,1304
009022,009,外國語文學系,1201
009032,009,歷史學系,1305
009042,009,日本語言文化學系,1203
009052,009,哲學系,1304
009062,009,應用物理學系,0303
009072,009,化學系化學組,0302
009082,009,化學系化學生物組,0503
009092,009,生命科學系(生物醫學組),0504
009102,009,生命科學系(生態暨生物多樣性組),0507
009112,009,智慧計算暨應用數學系(A組),0301
009122,009,智慧計算暨應用數學系(B組),0301
009132,009,化學工程與材料工程學系,0210
009142,009,工業工程與經營資訊學系(智慧設計與生產組),0214
009152,009,工業工程與經營資訊學系(智慧經營與管理組),0214
009162,009,環境科學與工程學系,0702
009172,009,資訊工程學系,0101
009182,009,資訊工程學系(APCS組),0101
