dept_id,univ_id,univ_name,department,academic_cluster,category,category_id
,046,銘傳大學,資訊科技應用與管理學士學位學程,資訊學群,資訊管理學類,0107
,046,銘傳大學,資訊管理學系,資訊學群,資訊管理學類,0107
030272,030,長庚大學,資訊管理學系,資訊學群,資訊管理學類,0107
110092,110,開南大學,資訊管理學系,資訊學群,資訊管理學類,0107
,018,靜宜大學,資訊管理學系,資訊學群,資訊管理學類,0107
020422,020,輔仁大學,國際溝通與科技創新學士學位學程,資訊學群,電子商務學類,0108
,008,中原大學,中原大學美國威大密爾瓦基分校電機與資訊工程雙學士學位學程,工程學群,電機工程學類,0201
008192,008,中原大學,資訊工程學系,工程學群,電機工程學類,0201
008202,008,中原大學,電機工程學系,工程學群,電機工程學類,0201
008152,008,中原大學,電機資訊學院學士班,工程學群,電機工程學類,0201
017182,017,中國文化大學,資訊工程學系,工程學群,電機工程學類,0201
017152,017,中國文化大學,電機工程學系,工程學群,電機工程學類,0201
,134,亞洲大學,資訊工程學系,工程學群,電機工程學類,0201
040162,040,元智大學,資訊工程學系,工程學群,電機工程學類,0201
,040,元智大學,電機工程學系,工程學群,電機工程學類,0201
040282,040,元智大學,電機通訊學院英語學士班,工程學群,電機工程學類,0201
059422,059,南華大學,資訊工程學系,工程學群,電機工程學類,0201
016242,016,國立中央大學,資訊工程學系,工程學群,電機工程學類,0201
016232,016,國立中央大學,電機工程學系,工程學群,電機工程學類,0201
027172,027,國立中山大學,資訊工程學系,工程學群,電機工程學類,0201
027122,027,國立中山大學,電機工程學系,工程學群,電機工程學類,0201
041152,041,國立中正大學,資訊工程學系,工程學群,電機工程學類,0201
041162,041,國立中正大學,電機工程學系,工程學群,電機工程學類,0201
003252,003,國立中興大學,電機工程學系,工程學群,電機工程學類,0201
100322,100,國立嘉義大學,資訊工程學系,工程學群,電機工程學類,0201
100372,100,國立嘉義大學,電機工程學系,工程學群,電機工程學類,0201
150162,150,國立宜蘭大學,資訊工程學系,工程學群,電機工程學類,0201
150132,150,國立宜蘭大學,電機工程學系,工程學群,電機工程學類,0201
036332,036,國立屏東大學,資訊工程學系,工程學群,電機工程學類,0201
023162,023,國立彰化師範大學,資訊工程學系,工程學群,電機工程學類,0201
023142,023,國立彰化師範大學,電機工程學系,工程學群,電機工程學類,0201
004492,004,國立成功大學,資訊工程學系,工程學群,電機工程學類,0201
,004,國立成功大學,電機工程學系,工程學群,電機工程學類,0201
058212,058,國立暨南國際大學,資訊工程學系,工程學群,電機工程學類,0201
058252,058,國立暨南國際大學,電機工程學系,工程學群,電機工程學類,0201
,034,國立東華大學,資訊工程學系,工程學群,電機工程學類,0201
,034,國立東華大學,電機工程學系,工程學群,電機工程學類,0201
011292,011,國立清華大學,動力機械工程學系,工程學群,電機工程學類,0201
,011,國立清華大學,資訊工程學系,工程學群,電機工程學類,0201
,011,國立清華大學,電機工程學系,工程學群,電機工程學類,0201
011402,011,國立清華大學,電機資訊學院學士班,工程學群,電機工程學類,0201
151152,151,國立聯合大學,資訊工程學系,工程學群,電機工程學類,0201
,151,國立聯合大學,電機工程學系,工程學群,電機工程學類,0201
031172,031,國立臺中教育大學,資訊工程學系,工程學群,電機工程學類,0201
099362,099,國立臺北大學,資訊工程學系,工程學群,電機工程學類,0201
099412,099,國立臺北大學,電機工程學系,工程學群,電機工程學類,0201
033162,033,國立臺南大學,資訊工程學系,工程學群,電機工程學類,0201
033182,033,國立臺南大學,電機工程學系,工程學群,電機工程學類,0201
038122,038,國立臺東大學,資訊工程學系,工程學群,電機工程學類,0201
001582,001,國立臺灣大學,資訊工程學系,工程學群,電機工程學類,0201
001572,001,國立臺灣大學,電機工程學系,工程學群,電機工程學類,0201
002332,002,國立臺灣師範大學,資訊工程學系,工程學群,電機工程學類,0201
002402,002,國立臺灣師範大學,電機工程學系,工程學群,電機工程學類,0201
021222,021,國立臺灣海洋大學,資訊工程學系,工程學群,電機工程學類,0201
021202,021,國立臺灣海洋大學,電機工程學系,工程學群,電機工程學類,0201
153122,153,國立金門大學,資訊工程學系,工程學群,電機工程學類,0201
153052,153,國立金門大學,電機工程學系,工程學群,電機工程學類,0201
,013,國立陽明交通大學,百川學士學位學程,工程學群,電機工程學類,0201
,013,國立陽明交通大學,資訊工程學系,工程學群,電機工程學類,0201
,013,國立陽明交通大學,電機工程學系,工程學群,電機工程學類,0201
101242,101,國立高雄大學,資訊工程學系,工程學群,電機工程學類,0201
101192,101,國立高雄大學,電機工程學系,工程學群,電機工程學類,0201
022162,022,國立高雄師範大學,電機工程學系,工程學群,電機工程學類,0201
019052,019,大同大學,資訊工程學系,工程學群,電機工程學類,0201
019042,019,大同大學,電機工程學系,工程學群,電機工程學類,0201
,042,大葉大學,資訊工程學系,工程學群,電機工程學類,0201
,042,大葉大學,電機工程學系,工程學群,電機工程學類,0201
009172,009,東海大學,資訊工程學系,工程學群,電機工程學類,0201
009192,009,東海大學,電機工程學系,工程學群,電機工程學類,0201
,014,淡江大學,資訊工程學系,工程學群,電機工程學類,0201
,014,淡江大學,電機工程學系,工程學群,電機工程學類,0201
,079,真理大學,資訊工程學系,工程學群,電機工程學類,0201
045122,045,義守大學,智慧科技英語學士學位學程,工程學群,電機工程學類,0201
,045,義守大學,資訊工程學系,工程學群,電機工程學類,0201
045012,045,義守大學,電機工程學系,工程學群,電機工程學類,0201
,044,華梵大學,智慧生活科技學系,工程學群,電機工程學類,0201
020232,020,輔仁大學,資訊工程學系,工程學群,電機工程學類,0201
020282,020,輔仁大學,電機工程學系,工程學群,電機工程學類,0201
015472,015,逢甲大學,澳洲昆士蘭大學電機工程雙學士學位學程,工程學群,電機工程學類,0201
015502,015,逢甲大學,美國加州聖荷西州立大學電機工程雙學士學位學程,工程學群,電機工程學類,0201
,015,逢甲大學,美國普渡大學電機資訊雙學士學位學程,工程學群,電機工程學類,0201
015302,015,逢甲大學,自動控制工程學系,工程學群,電機工程學類,0201
015252,015,逢甲大學,資訊工程學系,工程學群,電機工程學類,0201
015312,015,逢甲大學,資訊電機學院學士班,工程學群,電機工程學類,0201
015292,015,逢甲大學,電機工程學系,工程學群,電機工程學類,0201
,046,銘傳大學,資訊工程學系,工程學群,電機工程學類,0201
,046,銘傳大學,電機工程學系,工程學群,電機工程學類,0201
030102,030,長庚大學,電機工程學系,工程學群,電機工程學類,0201
051542,051,長榮大學,資訊工程學系,工程學群,電機工程學類,0201
018252,018,靜宜大學,資訊工程學系,工程學群,電機工程學類,0201
,040,元智大學,光電工程學系,工程學群,光電學類,0202
016092,016,國立中央大學,光電科學與工程學系,工程學群,光電學類,0202
016102,016,國立中央大學,理學院學士班,工程學群,光電學類,0202
027192,027,國立中山大學,光電工程學系,工程學群,光電學類,0202
004092,004,國立成功大學,光電科學與工程學系,工程學群,光電學類,0202
034152,034,國立東華大學,光電工程學系,工程學群,光電學類,0202
,151,國立聯合大學,光電工程學系,工程學群,光電學類,0202
002412,002,國立臺灣師範大學,光電工程學士學位學程,工程學群,光電學類,0202
