univ_name,department,academic_cluster,category,category_id
中原大學,中原大學美國威大密爾瓦基分校電機與資訊工程雙學士學位學程,工程學群,電機工程學類,0201
中原大學,資訊工程學系,工程學群,電機工程學類,0201
中原大學,電機工程學系,工程學群,電機工程學類,0201
中原大學,電機資訊學院學士班,工程學群,電機工程學類,0201
中國文化大學,資訊工程學系,工程學群,電機工程學類,0201
中國文化大學,電機工程學系,工程學群,電機工程學類,0201
中華大學,資訊工程學系,工程學群,電機工程學類,0201
中華大學,電機工程學系,工程學群,電機工程學類,0201
亞洲大學,資訊工程學系,工程學群,電機工程學類,0201
元智大學,資訊工程學系,工程學群,電機工程學類,0201
元智大學,電機工程學系,工程學群,電機工程學類,0201
元智大學,電機通訊學院英語學士班,工程學群,電機工程學類,0201
南華大學,資訊工程學系,工程學群,電機工程學類,0201
國立中央大學,資訊工程學系,工程學群,電機工程學類,0201
國立中央大學,電機工程學系,工程學群,電機工程學類,0201
國立中山大學,資訊工程學系,工程學群,電機工程學類,0201
國立中山大學,電機工程學系,工程學群,電機工程學類,0201
國立中正大學,資訊工程學系,工程學群,電機工程學類,0201
國立中正大學,電機工程學系,工程學群,電機工程學類,0201
國立中興大學,電機工程學系,工程學群,電機工程學類,0201
國立嘉義大學,資訊工程學系,工程學群,電機工程學類,0201
國立嘉義大學,電機工程學系,工程學群,電機工程學類,0201
國立宜蘭大學,資訊工程學系,工程學群,電機工程學類,0201
國立宜蘭大學,電機工程學系,工程學群,電機工程學類,0201
國立屏東大學,資訊工程學系,工程學群,電機工程學類,0201
國立彰化師範大學,資訊工程學系,工程學群,電機工程學類,0201
國立彰化師範大學,電機工程學系,工程學群,電機工程學類,0201
國立成功大學,資訊工程學系,工程學群,電機工程學類,0201
國立成功大學,電機工程學系,工程學群,電機工程學類,0201
國立暨南國際大學,資訊工程學系,工程學群,電機工程學類,0201
國立暨南國際大學,電機工程學系,工程學群,電機工程學類,0201
國立東華大學,資訊工程學系,工程學群,電機工程學類,0201
國立東華大學,電機工程學系,工程學群,電機工程學類,0201
國立清華大學,動力機械工程學系,工程學群,電機工程學類,0201
國立清華大學,資訊工程學系,工程學群,電機工程學類,0201
國立清華大學,電機工程學系,工程學群,電機工程學類,0201
國立清華大學,電機資訊學院學士班,工程學群,電機工程學類,0201
國立聯合大學,資訊工程學系,工程學群,電機工程學類,0201
國立聯合大學,電機工程學系,工程學群,電機工程學類,0201
國立臺中教育大學,資訊工程學系,工程學群,電機工程學類,0201
國立臺北大學,資訊工程學系,工程學群,電機工程學類,0201
國立臺北大學,電機工程學系,工程學群,電機工程學類,0201
國立臺南大學,資訊工程學系,工程學群,電機工程學類,0201
國立臺南大學,電機工程學系,工程學群,電機工程學類,0201
國立臺東大學,資訊工程學系,工程學群,電機工程學類,0201
國立臺灣大學,資訊工程學系,工程學群,電機工程學類,0201
國立臺灣大學,電機工程學系,工程學群,電機工程學類,0201
國立臺灣師範大學,資訊工程學系,工程學群,電機工程學類,0201
國立臺灣師範大學,電機工程學系,工程學群,電機工程學類,0201
國立臺灣海洋大學,資訊工程學系,工程學群,電機工程學類,0201
國立臺灣海洋大學,電機工程學系,工程學群,電機工程學類,0201
國立金門大學,資訊工程學系,工程學群,電機工程學類,0201
國立金門大學,電機工程學系,工程學群,電機工程學類,0201
國立陽明交通大學,百川學士學位學程,工程學群,電機工程學類,0201
國立陽明交通大學,資訊工程學系,工程學群,電機工程學類,0201
國立陽明交通大學,電機工程學系,工程學群,電機工程學類,0201
國立高雄大學,資訊工程學系,工程學群,電機工程學類,0201
國立高雄大學,電機工程學系,工程學群,電機工程學類,0201
國立高雄師範大學,電機工程學系,工程學群,電機工程學類,0201
大同大學,資訊工程學系,工程學群,電機工程學類,0201
大同大學,電機工程學系,工程學群,電機工程學類,0201
大葉大學,資訊工程學系,工程學群,電機工程學類,0201
大葉大學,電機工程學系,工程學群,電機工程學類,0201
東海大學,資訊工程學系,工程學群,電機工程學類,0201
東海大學,電機工程學系,工程學群,電機工程學類,0201
淡江大學,資訊工程學系,工程學群,電機工程學類,0201
淡江大學,電機工程學系,工程學群,電機工程學類,0201
真理大學,資訊工程學系,工程學群,電機工程學類,0201
義守大學,智慧科技英語學士學位學程,工程學群,電機工程學類,0201
義守大學,資訊工程學系,工程學群,電機工程學類,0201
義守大學,電機工程學系,工程學群,電機工程學類,0201
華梵大學,智慧生活科技學系,工程學群,電機工程學類,0201
輔仁大學,資訊工程學系,工程學群,電機工程學類,0201
輔仁大學,電機工程學系,工程學群,電機工程學類,0201
逢甲大學,澳洲昆士蘭大學電機工程雙學士學位學程,工程學群,電機工程學類,0201
逢甲大學,美國加州聖荷西州立大學電機工程雙學士學位學程,工程學群,電機工程學類,0201
逢甲大學,美國普渡大學電機資訊雙學士學位學程,工程學群,電機工程學類,0201
逢甲大學,自動控制工程學系,工程學群,電機工程學類,0201
逢甲大學,資訊工程學系,工程學群,電機工程學類,0201
逢甲大學,資訊電機學院學士班,工程學群,電機工程學類,0201
逢甲大學,電機工程學系,工程學群,電機工程學類,0201
銘傳大學,資訊工程學系,工程學群,電機工程學類,0201
銘傳大學,電機工程學系,工程學群,電機工程學類,0201
長庚大學,電機工程學系,工程學群,電機工程學類,0201
長榮大學,資訊工程學系,工程學群,電機工程學類,0201
靜宜大學,資訊工程學系,工程學群,電機工程學類,0201
中華大學,光電與材料工程學系,工程學群,光電學類,0202
元智大學,光電工程學系,工程學群,光電學類,0202
國立中央大學,光電科學與工程學系,工程學群,光電學類,0202
國立中央大學,理學院學士班,工程學群,光電學類,0202
國立中山大學,光電工程學系,工程學群,光電學類,0202
國立成功大學,光電科學與工程學系,工程學群,光電學類,0202
國立東華大學,光電工程學系,工程學群,光電學類,0202
國立聯合大學,光電工程學系,工程學群,光電學類,0202
國立臺灣師範大學,光電工程學士學位學程,工程學群,光電學類,0202
國立臺灣海洋大學,光電與材料科技學系,工程學群,光電學類,0202
國立陽明交通大學,光電工程學系,工程學群,光電學類,0202
國立陽明交通大學,百川學士學位學程,工程學群,光電學類,0202
逢甲大學,光電科學與工程學系,工程學群,光電學類,0202
中原大學,半導體產業學士學位學程,工程學群,電子工程學類,0203
中原大學,資訊工程學系,工程學群,電子工程學類,0203
中原大學,電子工程學系,工程學群,電子工程學類,0203
中原大學,電機工程學系,工程學群,電子工程學類,0203
中原大學,電機資訊學院學士班,工程學群,電子工程學類,0203
中國文化大學,資訊工程學系,工程學群,電子工程學類,0203
中國文化大學,電機工程學系,工程學群,電子工程學類,0203
中華大學,資訊工程學系,工程學群,電子工程學類,0203
中華大學,電機工程學系,工程學群,電子工程學類,0203
亞洲大學,半導體學士學位學程,工程學群,電子工程學類,0203
亞洲大學,資訊工程學系,工程學群,電子工程學類,0203
元智大學,資訊工程學系,工程學群,電子工程學類,0203
元智大學,電機工程學系,工程學群,電子工程學類,0203
南華大學,半導體應用學士學位學程,工程學群,電子工程學類,0203
南華大學,資訊工程學系,工程學群,電子工程學類,0203
國立中央大學,資訊工程學系,工程學群,電子工程學類,0203
國立中央大學,電機工程學系,工程學群,電子工程學類,0203
國立中山大學,資訊工程學系,工程學群,電子工程學類,0203
國立中山大學,電機工程學系,工程學群,電子工程學類,0203
國立中正大學,資訊工程學系,工程學群,電子工程學類,0203
國立中正大學,電機工程學系,工程學群,電子工程學類,0203
國立中興大學,智慧創意工程學士學位學程,工程學群,電子工程學類,0203
國立中興大學,電機工程學系,工程學群,電子工程學類,0203
國立嘉義大學,資訊工程學系,工程學群,電子工程學類,0203
國立嘉義大學,電機工程學系,工程學群,電子工程學類,0203
國立宜蘭大學,資訊工程學系,工程學群,電子工程學類,0203
國立宜蘭大學,電子工程學系,工程學群,電子工程學類,0203
國立宜蘭大學,電機工程學系,工程學群,電子工程學類,0203
國立屏東大學,資訊工程學系,工程學群,電子工程學類,0203
國立彰化師範大學,資訊工程學系,工程學群,電子工程學類,0203
國立彰化師範大學,電子工程學系,工程學群,電子工程學類,0203
國立彰化師範大學,電機工程學系,工程學群,電子工程學類,0203
國立成功大學,資訊工程學系,工程學群,電子工程學類,0203
國立成功大學,電機工程學系,工程學群,電子工程學類,0203
國立暨南國際大學,資訊工程學系,工程學群,電子工程學類,0203
國立暨南國際大學,電機工程學系,工程學群,電子工程學類,0203
國立東華大學,資訊工程學系,工程學群,電子工程學類,0203
國立東華大學,電機工程學系,工程學群,電子工程學類,0203
國立清華大學,資訊工程學系,工程學群,電子工程學類,0203
國立清華大學,電機工程學系,工程學群,電子工程學類,0203
國立清華大學,電機資訊學院學士班,工程學群,電子工程學類,0203
國立聯合大學,資訊工程學系,工程學群,電子工程學類,0203
國立聯合大學,電子工程學系,工程學群,電子工程學類,0203
國立聯合大學,電機工程學系,工程學群,電子工程學類,0203
國立臺中教育大學,資訊工程學系,工程學群,電子工程學類,0203
國立臺北大學,資訊工程學系,工程學群,電子工程學類,0203
國立臺北大學,電機工程學系,工程學群,電子工程學類,0203
國立臺南大學,資訊工程學系,工程學群,電子工程學類,0203
國立臺南大學,電機工程學系,工程學群,電子工程學類,0203
國立臺東大學,資訊工程學系,工程學群,電子工程學類,0203
國立臺灣大學,資訊工程學系,工程學群,電子工程學類,0203
國立臺灣大學,電機工程學系,工程學群,電子工程學類,0203
國立臺灣師範大學,資訊工程學系,工程學群,電子工程學類,0203
國立臺灣師範大學,電機工程學系,工程學群,電子工程學類,0203
國立臺灣海洋大學,資訊工程學系,工程學群,電子工程學類,0203
國立臺灣海洋大學,電機工程學系,工程學群,電子工程學類,0203
國立金門大學,資訊工程學系,工程學群,電子工程學類,0203
國立陽明交通大學,半導體工程學系,工程學群,電子工程學類,0203
國立陽明交通大學,資訊工程學系,工程學群,電子工程學類,0203
國立陽明交通大學,電子物理學系,工程學群,電子工程學類,0203
國立陽明交通大學,電機工程學系,工程學群,電子工程學類,0203
國立高雄大學,資訊工程學系,工程學群,電子工程學類,0203
國立高雄大學,電機工程學系,工程學群,電子工程學類,0203
國立高雄師範大學,電子工程學系,工程學群,電子工程學類,0203
大同大學,資訊工程學系,工程學群,電子工程學類,0203
大葉大學,半導體學士學位學程,工程學群,電子工程學類,0203
大葉大學,資訊工程學系,工程學群,電子工程學類,0203
大葉大學,電機工程學系,工程學群,電子工程學類,0203
東海大學,資訊工程學系,工程學群,電子工程學類,0203
東海大學,電機工程學系,工程學群,電子工程學類,0203
淡江大學,資訊工程學系,工程學群,電子工程學類,0203
淡江大學,電機工程學系,工程學群,電子工程學類,0203
真理大學,資訊工程學系,工程學群,電子工程學類,0203
義守大學,半導體學士學位學程,工程學群,電子工程學類,0203
義守大學,資訊工程學系,工程學群,電子工程學類,0203
義守大學,電子工程學系,工程學群,電子工程學類,0203
義守大學,電機工程學系,工程學群,電子工程學類,0203
華梵大學,電子工程學系,工程學群,電子工程學類,0203
輔仁大學,資訊工程學系,工程學群,電子工程學類,0203
輔仁大學,電機工程學系,工程學群,電子工程學類,0203
逢甲大學,資訊工程學系,工程學群,電子工程學類,0203
逢甲大學,資訊電機學院學士班,工程學群,電子工程學類,0203
逢甲大學,電子工程學系,工程學群,電子工程學類,0203
逢甲大學,電機工程學系,工程學群,電子工程學類,0203
銘傳大學,半導體應用學士學位學程,工程學群,電子工程學類,0203
銘傳大學,資訊工程學系,工程學群,電子工程學類,0203
長庚大學,電子工程學系,工程學群,電子工程學類,0203
長庚大學,電機工程學系,工程學群,電子工程學類,0203
長榮大學,資訊工程學系,工程學群,電子工程學類,0203
靜宜大學,晶片設計學士學位學程,工程學群,電子工程學類,0203
靜宜大學,資訊工程學系,工程學群,電子工程學類,0203
元智大學,通訊工程學系,工程學群,通訊工程學類,0204
元智大學,電機通訊學院英語學士班,工程學群,通訊工程學類,0204
國立中央大學,通訊工程學系,工程學群,通訊工程學類,0204
國立中正大學,通訊工程學系,工程學群,通訊工程學類,0204
國立屏東大學,電腦與通訊學系,工程學群,通訊工程學類,0204
國立臺北大學,通訊工程學系,工程學群,通訊工程學類,0204
國立臺灣海洋大學,通訊與導航工程學系,工程學群,通訊工程學類,0204
逢甲大學,資訊電機學院學士班,工程學群,通訊工程學類,0204
逢甲大學,通訊工程學系,工程學群,通訊工程學類,0204
國立成功大學,工程科學系,工程學群,工程科學學類,0205
國立成功大學,系統及船舶機電工程學系,工程學群,工程科學學類,0205
國立成功大學,能源工程國際學士學位學程,工程學群,工程科學學類,0205
國立成功大學,資源工程學系,工程學群,工程科學學類,0205
國立清華大學,原子科學院學士班,工程學群,工程科學學類,0205
國立清華大學,工程與系統科學系,工程學群,工程科學學類,0205
國立聯合大學,能源工程學系,工程學群,工程科學學類,0205
國立臺南大學,綠色能源科技學系,工程學群,工程科學學類,0205
國立臺灣大學,工程科學及海洋工程學系,工程學群,工程科學學類,0205
國立臺灣海洋大學,系統工程暨造船學系,工程學群,工程科學學類,0205
國立臺灣海洋大學,輪機工程學系,工程學群,工程科學學類,0205
大同大學,工程學院學士班,工程學群,工程科學學類,0205
中原大學,機械工程學系,工程學群,機械工程學類,0206
中原大學,電機工程學系,工程學群,機械工程學類,0206
中國文化大學,機械工程學系,工程學群,機械工程學類,0206
中國文化大學,電機工程學系,工程學群,機械工程學類,0206
中華大學,電機工程學系,工程學群,機械工程學類,0206
元智大學,工程學院英語學士班,工程學群,機械工程學類,0206
元智大學,機械工程學系,工程學群,機械工程學類,0206
元智大學,電機工程學系,工程學群,機械工程學類,0206
國立中央大學,機械工程學系,工程學群,機械工程學類,0206
國立中央大學,電機工程學系,工程學群,機械工程學類,0206
國立中山大學,機械與機電工程學系,工程學群,機械工程學類,0206
國立中山大學,電機工程學系,工程學群,機械工程學類,0206
國立中正大學,機械工程國際學士學位學程,工程學群,機械工程學類,0206
國立中正大學,機械工程學系,工程學群,機械工程學類,0206
國立中正大學,電機工程學系,工程學群,機械工程學類,0206
國立中興大學,智慧創意工程學士學位學程,工程學群,機械工程學類,0206
國立中興大學,機械工程學系,工程學群,機械工程學類,0206
國立中興大學,生物產業機電工程學系,工程學群,機械工程學類,0206
國立中興大學,電機工程學系,工程學群,機械工程學類,0206
國立嘉義大學,機械與能源工程學系,工程學群,機械工程學類,0206
國立嘉義大學,生物機電工程學系,工程學群,機械工程學類,0206
國立嘉義大學,電機工程學系,工程學群,機械工程學類,0206
國立宜蘭大學,機械與機電工程學系,工程學群,機械工程學類,0206
國立宜蘭大學,生物機電工程學系,工程學群,機械工程學類,0206
國立宜蘭大學,電機工程學系,工程學群,機械工程學類,0206
國立彰化師範大學,智慧車輛工程學系,工程學群,機械工程學類,0206
國立彰化師範大學,機電工程學系,工程學群,機械工程學類,0206
國立彰化師範大學,電機工程學系,工程學群,機械工程學類,0206
國立成功大學,機械工程學系,工程學群,機械工程學類,0206
國立成功大學,電機工程學系,工程學群,機械工程學類,0206
國立暨南國際大學,電機工程學系,工程學群,機械工程學類,0206
國立東華大學,電機工程學系,工程學群,機械工程學類,0206
國立清華大學,動力機械工程學系,工程學群,機械工程學類,0206
國立清華大學,工學院學士班,工程學群,機械工程學類,0206
國立清華大學,電機工程學系,工程學群,機械工程學類,0206
國立聯合大學,機械工程學系,工程學群,機械工程學類,0206
國立聯合大學,電機工程學系,工程學群,機械工程學類,0206
